project_id,type,campaign_country,cluster,impressions,yes_answers,no_answers,gender,age_range,diff_survey_release,watching_rate_%,cluster_k_8
project_3,wi,DE,DarkTV,2112,3,3,MALE,45to54,17,9.090909090909092,4
project_1,vc,ES,PopularDrama,12749,3,13,MALE,25to34,-153,14.285714285714285,1
project_2,vc,PT,Mixed_Segment_A,13833,3,0,FEMALE,25to34,-15,100.0,7
project_5,wi,FR,FrenchInfluencers,7945,10,103,MALE,18to24,5,7.299270072992702,6
project_7,wi,FR,CyprienFans,23136,25,8,FEMALE,25to34,21,58.139534883720934,7
project_2,vc,NO,Core,3455,12,6,FEMALE,25to34,-14,57.14285714285714,7
project_7,wi,FR,Comedy,16407,20,22,MALE,35to44,21,43.47826086956522,7
project_2,vc,SE,Demo,1872,1,5,FEMALE,35to44,-14,16.666666666666668,5
project_5,wi,FR,FrenchInfluencers,6481,5,63,MALE,35to44,5,6.756756756756758,6
project_5,wi,FR,FemaleCenteredInterests,7221,10,81,MALE,18to24,5,8.264462809917353,6
project_1,vc,DE,FemaleLedDramaMovies,13318,16,12,FEMALE,25to34,-111,22.222222222222218,1
project_2,vc,ES,OffensiveComedy,8412,0,0,MALE,45to54,-18,0.0,5
project_6,vc,DE,BrutalWitty,1718,2,3,FEMALE,18to24,-17,20.0,5
project_3,wi,GB,DarkTV,8330,19,5,MALE,45to54,42,39.583333333333336,7
project_2,wi,AT,USDocumentary,2861,3,8,FEMALE,O55,13,25.0,5
project_2,wi,ES,OffensiveComedy,6756,42,16,MALE,35to44,14,68.85245901639344,7
project_4,wi,DE,GermanProductions,9646,55,54,MALE,35to44,72,37.162162162162154,2
project_6,wi,ES,CastCrew,10141,21,2,FEMALE,25to34,83,84.0,7
project_3,wi,GB,Dystopian,10627,15,49,MALE,18to24,42,7.8125,4
project_6,wi,DE,Moviegoer,26,0,0,MALE,25to34,84,0.0,0
project_2,vc,NO,Mixed_Segment_E,4292,5,2,MALE,45to54,-14,55.555555555555564,7
project_6,wi,DE,BrutalWitty,4083,3,7,FEMALE,25to34,84,16.666666666666668,0
project_7,vc,FR,Comedy,101805,50,293,MALE,25to34,-37,12.406947890818861,3
project_4,vc,DE,Extended,1472,7,11,FEMALE,O55,-18,20.58823529411765,5
project_7,wi,FR,Comedy,14879,47,66,MALE,18to24,21,36.43410852713177,2
project_1,vc,DE,DarkFemaleLedTV,13819,0,5,MALE,18to24,-111,0.0,1
project_12,wi,FR,RealityTVfans,3988,0,0,FEMALE,35to44,25,0.0,4
project_6,wi,ES,TarantinoStyle,4755,1,2,FEMALE,45to54,83,20.0,0
project_6,vc,ES,Control,6629,44,35,MALE,35to44,-17,34.645669291338585,2
project_2,vc,IE,Demo,4706,0,0,FEMALE,18to24,-14,0.0,5
project_2,wi,AT,USDocumentary,2000,10,1,FEMALE,25to34,13,62.5,7
project_2,wi,ES,USDocumentary,8364,11,14,FEMALE,O55,14,32.35294117647059,7
project_1,wi,GB,PopularDramaThrillerTV,1458,4,0,FEMALE,45to54,-53,44.444444444444436,7
project_12,wi,FR,Football,2511,0,0,MALE,35to44,25,0.0,4
project_3,wi,DE,SciFi,1590,2,6,FEMALE,45to54,17,5.882352941176472,4
project_2,vc,PT,Mixed_Segment_F,7192,2,3,MALE,O55,-15,33.333333333333336,5
project_6,wi,DE,VengeanceSelfJustice,2398,10,10,MALE,35to44,84,35.714285714285715,0
project_6,vc,ES,Action,4372,17,4,MALE,35to44,-17,50.0,7
project_2,wi,AT,USCulture,1391,6,2,FEMALE,25to34,13,66.66666666666667,7
project_6,wi,DE,BrutalWitty,1557,6,7,FEMALE,45to54,84,26.08695652173913,0
project_9,wi,DE,SportEntertainment,3092,29,53,MALE,25to34,3,32.95454545454545,6
project_5,wi,FR,FrenchCinemaTVSeries,13938,8,96,MALE,25to34,5,6.4,6
project_1,wi,NL,WomensFavouriteTV,6558,0,14,FEMALE,18to24,-53,0.0,5
project_7,vc,FR,GuestStars,63075,12,14,MALE,45to54,-37,31.578947368421048,3
project_1,wi,GB,DarkFemaleLedTV,2170,1,4,MALE,18to24,-53,12.5,5
project_8,wi,GB,TheCornettoTrilogy,122,1,0,MALE,O55,92,100.0,7
project_6,vc,ES,CastCrew,5137,63,10,FEMALE,45to54,-17,51.639344262295076,2
project_2,vc,IE,Mixed_Segment_C,6601,0,0,FEMALE,35to44,-14,0.0,5
project_6,vc,DE,SpiesSecretOperations,1493,2,2,FEMALE,18to24,-17,28.57142857142857,5
project_4,vc,DE,Core,1448,4,5,FEMALE,O55,-18,22.222222222222218,5
project_7,wi,FR,GuestStars,10732,3,8,FEMALE,25to34,21,16.666666666666668,4
project_6,wi,FR,VengeanceSelfJustice,3442,11,8,MALE,45to54,84,35.483870967741936,0
project_2,vc,IE,Mixed_Segment_B,7540,0,0,MALE,35to44,-14,0.0,5
project_1,vc,DE,FemaleLedDramaMovies,7351,3,2,MALE,45to54,-111,60.0,1
project_14,wi,AT,Mixed_Segment_C,12080,0,0,FEMALE,25to34,81,0.0,0
project_2,vc,DK,Mixed_Segment_C,3733,0,0,FEMALE,35to44,-14,0.0,5
project_12,wi,FR,SportEntertainment,3143,0,0,FEMALE,45to54,25,0.0,4
project_6,wi,ES,BrutalWitty,27919,4,13,MALE,25to34,83,21.05263157894737,0
project_2,vc,DK,Core,3119,0,0,FEMALE,35to44,-14,0.0,5
project_2,wi,ES,OffensiveComedy,11346,19,12,FEMALE,45to54,14,52.77777777777778,7
project_4,vc,DE,Broad,1282,4,4,MALE,O55,-18,21.05263157894737,5
project_1,wi,GB,DarkFemaleLedTV,2685,7,2,FEMALE,25to34,-53,41.1764705882353,7
project_3,wi,DE,VisuallyArresting,1848,2,9,MALE,O55,17,5.882352941176472,4
project_1,vc,AT,Feminism,17411,1,16,MALE,45to54,-111,5.0,1
project_1,vc,ES,BestOfMystery,9569,7,3,FEMALE,45to54,-153,36.8421052631579,1
project_10,wi,DE,Book,901,2,7,FEMALE,25to34,119,14.285714285714285,0
project_5,wi,FR,BarreDancePoleFitnessEnthusiasts,5589,7,27,MALE,35to44,5,15.909090909090908,4
project_4,vc,DE,Interest,1738,6,3,FEMALE,25to34,-18,46.153846153846146,7
project_1,vc,AT,DarkFemaleLedTV,28101,3,6,MALE,35to44,-111,11.538461538461537,1
project_1,vc,DE,Motherhood,2976,10,16,FEMALE,45to54,-111,17.857142857142858,1
project_1,vc,ES,PopularDrama,13829,26,3,FEMALE,35to44,-153,46.42857142857143,1
project_1,vc,DE,PrimeVideoFans,19396,0,11,MALE,25to34,-111,0.0,1
project_1,vc,AT,Cast,6697,0,10,MALE,45to54,-111,0.0,1
project_1,wi,GB,PopularDramaThrillerTV,3125,3,33,MALE,18to24,-53,5.882352941176472,5
project_10,wi,DE,YoungAdultsDrama,754,9,24,FEMALE,O55,119,25.714285714285715,0
project_1,vc,AT,BestOfMystery,25131,3,15,MALE,45to54,-111,9.375,1
project_2,vc,ES,USCulture,2983,0,0,MALE,45to54,-18,0.0,5
project_5,vc,FR,FrenchInfluencers,16412,13,164,MALE,18to24,-14,6.074766355140188,6
project_6,vc,DE,Drama,1890,3,4,FEMALE,35to44,-17,20.0,5
project_5,wi,FR,Singles,7234,9,109,MALE,25to34,5,6.7164179104477615,6
project_3,wi,FR,PrimeVideoFans,2438,0,0,FEMALE,25to34,17,0.0,4
project_2,vc,FI,Broad,2193,1,11,FEMALE,O55,-14,8.333333333333334,5
project_7,wi,FR,GuestStars,11798,0,2,FEMALE,45to54,21,0.0,4
project_5,wi,FR,FrenchComedy,12502,19,78,MALE,35to44,5,18.095238095238095,6
project_6,wi,ES,Control,4614,6,13,FEMALE,45to54,83,25.0,0
project_7,vc,FR,NatooFans,47591,54,38,FEMALE,18to24,-37,39.130434782608695,3
project_7,vc,FR,LudovikFans,90241,24,95,MALE,25to34,-37,17.02127659574468,3
project_4,vc,DE,SophisticatedCrimeTV,2921,3,12,FEMALE,45to54,-18,13.636363636363635,5
project_2,vc,FI,Mixed_Segment_A,3823,2,2,MALE,25to34,-14,40.0,7
project_5,wi,FR,Teens,7145,9,77,MALE,45to54,5,7.6923076923076925,6
project_1,vc,AT,Motherhood,21457,2,18,MALE,18to24,-111,6.25,1
project_1,vc,DE,FemaleLedDramaMovies,18537,6,15,MALE,25to34,-111,16.216216216216218,1
project_11,wi,FR,FrenchComedy,29558,0,0,MALE,18to24,28,0.0,4
project_11,wi,FR,FrenchCinema,3487,0,0,MALE,25to34,28,0.0,4
project_7,vc,FR,NormanThavaudFans,95893,15,52,MALE,35to44,-37,16.853932584269664,3
project_7,wi,FR,FrenchComedy,12793,3,2,FEMALE,45to54,21,42.857142857142854,7
project_8,vc,GB,Control,1541,0,0,MALE,25to34,-7,0.0,5
project_4,wi,DE,Crime,6826,21,21,FEMALE,45to54,72,26.923076923076927,0
project_10,wi,DE,YoungAdultsDrama,1553,10,7,FEMALE,18to24,119,35.714285714285715,0
project_11,wi,FR,HumoristCelebrities,5963,0,0,FEMALE,25to34,28,0.0,4
project_5,wi,FR,EmpowermentFeminismBodyPositivity,5013,19,5,FEMALE,35to44,5,57.57575757575758,7
project_2,wi,ES,Control,1793,5,9,FEMALE,18to24,14,33.333333333333336,7
project_3,wi,GB,Dystopian,7207,21,9,FEMALE,35to44,42,25.609756097560968,0
project_14,wi,DE,StandUp,2471,3,12,FEMALE,35to44,81,8.571428571428571,0
project_1,vc,ES,Feminism,6702,6,11,MALE,18to24,-153,27.272727272727273,1
project_2,vc,DK,Broad,3284,0,0,MALE,18to24,-14,0.0,5
project_6,vc,DE,PRIMEOriginalSeries,1631,2,14,FEMALE,18to24,-17,8.0,5
project_12,wi,FR,RealityTVfans,3860,0,0,MALE,O55,25,0.0,4
project_1,vc,ES,DarkFemaleLedTV,10924,25,9,MALE,45to54,-153,43.85964912280703,1
project_10,wi,DE,BiographiesTrueStories,3167,6,17,MALE,O55,119,25.0,0
project_2,vc,IE,Demo,4440,0,0,MALE,O55,-14,0.0,5
project_6,wi,FR,BrutalWitty,12954,9,46,MALE,18to24,84,9.473684210526317,0
project_5,vc,FR,ViewedPrimeVideoCampaigns,12197,30,63,FEMALE,45to54,-14,26.08695652173913,6
project_11,wi,FR,Rural,5507,0,0,FEMALE,45to54,28,0.0,4
project_2,vc,PT,Mixed_Segment_D,8479,7,1,MALE,35to44,-15,87.5,7
project_14,wi,AT,GermanyComedy,11558,1,2,MALE,35to44,81,20.0,0
project_1,vc,ES,WomensFavouriteTV,14261,19,9,FEMALE,25to34,-153,35.185185185185176,1
project_3,wi,DE,ComicBookTV,1617,0,2,FEMALE,25to34,17,0.0,4
project_8,vc,GB,FlockAudiences,2879,0,0,FEMALE,45to54,-7,0.0,5
project_6,vc,FR,SpiesSecretOperations,3446,27,17,MALE,35to44,-17,46.55172413793103,7
project_6,wi,GB,BrutalWitty,22471,30,57,MALE,18to24,84,13.574660633484163,0
project_10,wi,DE,Music,730,5,6,FEMALE,45to54,119,45.45454545454545,0
project_6,wi,ES,Control,4410,3,6,MALE,25to34,83,23.07692307692308,0
project_2,vc,ES,Control,7421,0,0,FEMALE,O55,-18,0.0,5
project_2,vc,SE,Demo,1511,4,4,MALE,O55,-14,44.444444444444436,7
project_4,vc,DE,Broad,2217,10,22,MALE,25to34,-18,17.24137931034483,5
project_1,vc,DE,FemaleLedDramaMovies,5586,2,7,MALE,18to24,-111,6.896551724137932,1
project_7,vc,FR,LudovikFans,70081,23,127,MALE,18to24,-37,12.92134831460674,3
project_14,wi,AT,StandUp,17758,0,0,FEMALE,35to44,81,0.0,0
project_2,vc,SE,Demo,2369,6,5,MALE,25to34,-14,50.0,7
project_5,vc,FR,FemaleLedComedy,27642,140,129,FEMALE,18to24,-14,32.63403263403264,2
project_6,vc,DE,Action,1269,2,8,FEMALE,45to54,-17,13.333333333333336,5
project_3,wi,FR,VisuallyArresting,2762,0,0,FEMALE,45to54,17,0.0,4
project_13,wi,FR,MusicalsOnScreen,2068,0,0,FEMALE,18to24,4,0.0,4
project_12,wi,FR,FrenchCinema,3499,0,0,FEMALE,O55,25,0.0,4
project_11,wi,FR,FamilyEntertainment,13561,0,0,FEMALE,25to34,28,0.0,4
project_9,vc,DE,FootballEntertainment,9762,60,138,MALE,35to44,-18,22.988505747126432,6
project_10,wi,DE,Control,493,1,18,FEMALE,45to54,119,5.0,0
project_6,vc,GB,BrutalWitty,3766,25,44,MALE,25to34,-17,29.069767441860467,5
project_4,vc,DE,Interest,1545,0,6,MALE,18to24,-18,0.0,5
project_5,wi,FR,ComedyDramedy,13064,16,90,MALE,35to44,5,14.285714285714285,6
project_6,vc,DE,CastCrew,1442,2,9,FEMALE,18to24,-17,14.285714285714285,5
project_7,wi,FR,NormanThavaudFans,771,3,1,FEMALE,45to54,21,30.0,4
project_6,vc,ES,Drama,3078,8,2,FEMALE,45to54,-17,53.33333333333334,7
project_6,vc,GB,Drama,2575,3,7,FEMALE,25to34,-17,13.636363636363635,5
project_10,wi,DE,DrugsonScreen,1632,4,13,MALE,35to44,119,16.666666666666668,0
project_12,wi,FR,Football,2271,0,0,MALE,O55,25,0.0,4
project_13,wi,FR,FrenchArtists,2007,0,0,FEMALE,45to54,4,0.0,4
project_6,vc,ES,Drama,3518,9,4,MALE,35to44,-17,36.0,7
project_3,wi,FR,ComicBookTV,3310,0,0,MALE,O55,17,0.0,4
project_2,vc,SE,Mixed_Segment_B,5222,12,2,MALE,35to44,-14,85.71428571428571,7
project_1,wi,NL,DarkFemaleLedTV,4564,3,1,FEMALE,35to44,-53,25.0,5
project_1,vc,DE,Cast,5143,1,11,MALE,35to44,-111,3.2258064516129035,1
project_6,wi,ES,TarantinoStyle,5273,7,2,MALE,35to44,83,63.63636363636363,7
project_11,wi,FR,French,5997,0,0,FEMALE,35to44,28,0.0,4
project_1,vc,GB,DarkFemaleLedTV,5165,37,12,FEMALE,25to34,-98,29.6,1
project_3,wi,FR,SciFi,2749,0,0,FEMALE,45to54,17,0.0,4
project_3,wi,DE,Dystopian,2349,2,10,MALE,25to34,17,5.2631578947368425,4
project_13,wi,FR,FrenchArtists,2726,0,0,MALE,25to34,4,0.0,4
project_7,wi,FR,PrimeVideoFans,20126,2,1,FEMALE,45to54,21,50.0,7
project_6,wi,GB,Action,2227,0,18,FEMALE,25to34,84,0.0,0
project_3,wi,FR,SciFi,3960,0,0,FEMALE,18to24,17,0.0,4
project_4,vc,DE,Spies,3063,5,16,MALE,O55,-18,15.625,5
project_1,vc,GB,PopularDramaThrillerTV,7188,13,55,MALE,18to24,-98,12.621359223300969,1
project_2,wi,AT,SBC,1853,20,3,MALE,25to34,13,83.33333333333333,7
project_4,vc,DE,PrimeVideoFans,1357,7,31,FEMALE,O55,-18,9.722222222222221,5
project_8,vc,GB,TheCornettoTrilogy,1120,0,0,FEMALE,25to34,-7,0.0,5
project_10,wi,DE,Berlin,1171,2,2,MALE,35to44,119,28.57142857142857,0
project_14,wi,AT,GermanComedy,1747,1,1,FEMALE,18to24,81,25.0,0
project_6,wi,DE,Control,1910,2,20,FEMALE,35to44,84,3.8461538461538463,0
project_3,wi,FR,VisuallyArresting,1809,0,0,FEMALE,O55,17,0.0,4
project_6,vc,FR,SpiesSecretOperations,2452,14,6,FEMALE,25to34,-17,42.42424242424242,7
project_2,vc,DK,Demo,1465,0,0,MALE,O55,-14,0.0,5
project_5,vc,FR,EmpowermentFeminismBodyPositivity,10790,9,67,MALE,35to44,-14,9.375,6
project_1,vc,AT,BestOfMystery,34806,2,2,MALE,25to34,-111,10.0,1
project_6,vc,ES,SpiesSecretOperations,4298,18,10,FEMALE,25to34,-17,50.0,7
project_6,wi,ES,VengeanceSelfJustice,6058,18,25,MALE,25to34,83,34.615384615384606,0
project_1,vc,DE,DarkFemaleLedTV,5929,7,10,FEMALE,18to24,-111,13.20754716981132,1
project_3,wi,IT,ComicBookTV,2064,0,0,FEMALE,35to44,17,0.0,4
project_4,wi,DE,Crime,8055,24,27,FEMALE,35to44,72,25.53191489361702,0
project_7,wi,FR,NatooFans,39822,14,34,MALE,25to34,21,24.561403508771928,3
project_5,vc,FR,FemaleLedComedy,27193,95,326,MALE,25to34,-14,18.664047151277014,6
project_5,wi,FR,FemaleCenteredInterests,7547,4,41,MALE,45to54,5,6.666666666666668,4
project_1,vc,AT,FemaleLedDramaMovies,22964,6,6,FEMALE,18to24,-111,18.75,1
project_6,wi,FR,Action,1826,2,8,FEMALE,35to44,84,8.0,0
project_7,vc,FR,Gamers,49781,11,17,FEMALE,35to44,-37,17.460317460317462,3
project_2,vc,ES,Comedy,7680,0,0,FEMALE,45to54,-18,0.0,5
project_3,wi,GB,VisuallyArresting,7581,7,28,FEMALE,18to24,42,5.691056910569106,4
project_14,wi,AT,Comedy,12414,1,1,MALE,45to54,81,33.333333333333336,0
project_14,wi,DE,Mixed_Segment_C,7647,0,0,FEMALE,35to44,81,0.0,0
project_5,vc,FR,InARelationship,14942,45,23,FEMALE,35to44,-14,45.91836734693877,2
project_1,vc,AT,BestOfMystery,30910,1,5,MALE,18to24,-111,4.545454545454546,1
project_5,wi,FR,FrenchInfluencers,6674,28,34,FEMALE,25to34,5,36.36363636363637,7
project_7,wi,FR,LudovikFans,28595,6,36,MALE,35to44,21,13.636363636363635,4
project_14,wi,AT,GermanComedy,1940,0,4,MALE,18to24,81,0.0,0
project_2,vc,IE,Broad,3384,0,0,MALE,O55,-14,0.0,5
project_14,wi,DE,StandUp,3258,4,1,MALE,18to24,81,25.0,0
project_2,vc,FI,Broad,2595,0,0,FEMALE,35to44,-14,0.0,5
project_8,vc,GB,BestOfComedy,2631,0,0,FEMALE,25to34,-7,0.0,5
project_13,wi,FR,MusicNostalgia,4979,0,0,MALE,25to34,4,0.0,4
project_2,wi,AT,Comedy,3384,1,6,FEMALE,O55,13,12.5,5
project_11,wi,FR,French,7425,0,0,MALE,45to54,28,0.0,4
project_1,vc,DE,Feminism,3474,1,2,MALE,18to24,-111,7.6923076923076925,1
project_6,wi,ES,TarantinoStyle,5176,5,5,MALE,45to54,83,45.45454545454545,0
project_7,vc,FR,NatooFans,56619,12,27,FEMALE,45to54,-37,21.818181818181817,3
project_2,vc,ES,USDocumentary,8780,0,0,FEMALE,45to54,-18,0.0,5
project_1,vc,AT,PrimeVideoFans,17889,8,1,FEMALE,45to54,-111,26.66666666666667,1
project_5,wi,FR,FrenchInfluencers,6259,3,11,FEMALE,35to44,5,11.538461538461537,4
project_4,wi,DE,GermanCrimeDrama,3652,12,17,FEMALE,18to24,72,18.75,0
project_8,vc,GB,FlockAudiences,3089,0,0,MALE,O55,-7,0.0,5
project_6,vc,ES,CastCrew,4548,64,6,FEMALE,35to44,-17,56.14035087719297,2
project_8,vc,GB,Mixed_Segment_D,3201,0,0,FEMALE,25to34,-7,0.0,5
project_10,wi,DE,YoungAdultsDrama,1115,5,21,FEMALE,45to54,119,14.705882352941178,0
project_6,vc,GB,PRIMEOriginalSeries,2795,14,10,FEMALE,45to54,-17,43.75,7
project_6,wi,ES,PRIMEOriginalSeries,5702,16,2,MALE,45to54,83,76.19047619047619,7
project_2,vc,NO,Demo,1664,6,7,FEMALE,45to54,-14,42.857142857142854,7
project_5,vc,FR,FrenchComedy,30435,32,322,MALE,18to24,-14,7.095343680709535,6
project_2,wi,ES,USCulture,3769,15,10,MALE,45to54,14,57.69230769230769,7
project_1,wi,GB,PopularDramaThrillerTV,2381,1,16,FEMALE,18to24,-53,3.8461538461538463,5
project_6,vc,DE,CastCrew,1678,11,5,FEMALE,25to34,-17,36.66666666666666,7
project_10,wi,DE,BiographiesTrueStories,4160,8,9,FEMALE,25to34,119,33.333333333333336,0
project_5,vc,FR,PrimeVideoFans,3465,10,19,MALE,45to54,-14,21.27659574468085,5
project_10,wi,DE,DrugsonScreen,1919,8,12,FEMALE,18to24,119,30.76923076923077,0
project_6,vc,DE,CastCrew,2575,42,52,MALE,45to54,-17,28.96551724137931,2
project_1,wi,GB,WomensFavouriteTV,4094,1,3,MALE,25to34,-53,12.5,5
project_1,vc,DE,Feminism,10892,4,0,FEMALE,18to24,-111,100.0,7
project_2,wi,AT,OffensiveComedy,6189,1,5,FEMALE,O55,13,11.111111111111109,5
project_14,wi,AT,GermanComedy,7986,1,5,MALE,25to34,81,7.142857142857142,0
project_1,wi,NL,WomensFavouriteTV,4366,0,5,MALE,35to44,-53,0.0,5
project_6,vc,ES,PRIMEOriginalSeries,4269,24,5,FEMALE,45to54,-17,57.14285714285714,7
project_14,wi,AT,Mixed_Segment_D,13081,0,0,MALE,25to34,81,0.0,0
project_6,wi,ES,Control,7006,10,38,MALE,25to34,83,16.393442622950822,0
project_14,wi,AT,Control,12096,0,0,MALE,35to44,81,0.0,0
project_8,vc,GB,IrreverentBritishTVComedy,3348,0,0,FEMALE,18to24,-7,0.0,5
project_4,vc,DE,Crime,2657,3,28,FEMALE,O55,-18,7.142857142857142,5
project_1,wi,GB,PopularDramaThrillerTV,2895,1,3,MALE,O55,-53,8.333333333333334,5
project_4,vc,DE,Thriller,3353,7,9,FEMALE,18to24,-18,20.0,5
project_6,wi,FR,PRIMEOriginalSeries,4282,15,14,MALE,35to44,84,35.714285714285715,0
project_5,vc,FR,FrenchComedians,15520,6,106,MALE,25to34,-14,4.411764705882354,6
project_6,vc,GB,Control,4015,25,15,FEMALE,35to44,-17,36.231884057971016,7
project_6,wi,DE,VengeanceSelfJustice,2265,3,12,MALE,18to24,84,12.5,0
project_12,wi,FR,PrimeVideoFans,4248,0,0,MALE,18to24,25,0.0,4
project_1,wi,GB,DarkFemaleLedTV,3530,4,4,MALE,45to54,-53,36.36363636363637,7
project_10,wi,DE,Book,787,6,9,FEMALE,45to54,119,33.333333333333336,0
project_7,vc,FR,GuestStars,76938,41,125,MALE,18to24,-37,20.0,3
project_1,wi,GB,DarkFemaleLedTV,4204,11,0,FEMALE,35to44,-53,45.83333333333334,7
project_2,wi,AT,OffensiveComedy,2780,20,1,MALE,25to34,13,95.23809523809523,7
project_14,wi,DE,Mixed_Segment_C,5344,0,0,FEMALE,25to34,81,0.0,0
project_4,wi,DE,SophisticatedCrimeTV,1892,6,6,MALE,18to24,72,30.0,0
project_8,vc,GB,Control,873,0,0,MALE,45to54,-7,0.0,5
project_2,wi,AT,USDocumentary,1883,8,2,MALE,35to44,13,72.72727272727273,7
project_6,wi,DE,Control,1861,4,14,FEMALE,25to34,84,8.888888888888891,0
project_6,wi,ES,Drama,3744,2,0,MALE,45to54,83,66.66666666666667,7
project_3,wi,IT,Dystopian,3799,0,0,FEMALE,35to44,17,0.0,4
project_11,wi,FR,FrenchCinema,7643,0,0,FEMALE,25to34,28,0.0,4
project_6,vc,GB,CastCrew,3068,28,20,MALE,18to24,-17,37.333333333333336,7
project_4,wi,DE,GermanCrimeDrama,4185,23,47,MALE,O55,72,23.232323232323232,0
project_14,wi,AT,GermanyComedy,7468,1,0,FEMALE,45to54,81,100.0,7
project_4,vc,DE,Crime,4590,2,17,MALE,25to34,-18,6.0606060606060606,5
project_14,wi,DE,StandUp,2466,10,14,MALE,45to54,81,27.777777777777782,0
project_11,wi,FR,Parents,6680,0,0,FEMALE,35to44,28,0.0,4
project_12,wi,FR,Documentary,3148,0,0,FEMALE,O55,25,0.0,4
project_4,vc,DE,Core,2070,7,4,MALE,18to24,-18,38.888888888888886,5
project_5,wi,FR,FemaleLedComedy,12389,57,126,MALE,35to44,5,25.110132158590307,6
project_11,wi,FR,PopularCultComedy,33754,0,0,FEMALE,35to44,28,0.0,4
project_3,wi,IT,VisuallyArresting,1644,0,0,FEMALE,O55,17,0.0,4
project_3,wi,DE,SciFi,1893,2,10,FEMALE,25to34,17,4.651162790697675,4
project_11,wi,FR,HistoricalDramaComedy,11165,0,0,MALE,18to24,28,0.0,4
project_12,wi,FR,RealityTVfans,2803,0,0,FEMALE,18to24,25,0.0,4
project_6,wi,DE,Moviegoer,7,0,0,FEMALE,25to34,84,0.0,0
project_6,wi,DE,Drama,1810,0,6,MALE,25to34,84,0.0,0
project_8,vc,GB,BestOfComedy,1177,0,0,MALE,O55,-7,0.0,5
project_6,vc,GB,Action,3305,15,8,MALE,25to34,-17,36.58536585365854,7
project_1,wi,NL,DarkFemaleLedTV,2216,0,0,FEMALE,25to34,-53,0.0,5
project_5,vc,FR,Families,1459,1,0,FEMALE,18to24,-14,33.333333333333336,5
project_1,vc,AT,Motherhood,20562,6,5,MALE,45to54,-111,33.333333333333336,1
project_5,vc,FR,Singles,12330,42,66,FEMALE,18to24,-14,20.48780487804878,6
project_13,wi,FR,FrenchCinema,762,0,0,FEMALE,35to44,4,0.0,4
project_1,vc,AT,Motherhood,19139,2,11,FEMALE,18to24,-111,4.25531914893617,1
project_1,vc,ES,Feminism,5262,2,7,MALE,25to34,-153,20.0,1
