project_id,type,campaign_country,cluster,survey_date,release_date,impressions,yes_answers,no_answers,gender,age_range,diff_survey_release,watching_rate_%
project_14,wi,AT,Mixed_Segment_C,2020-09-14,2020-12-04,12080,0,0,FEMALE,25to34,81,0.0
project_2,vc,DK,Mixed_Segment_C,2020-11-06,2020-10-23,3733,0,0,FEMALE,35to44,-14,0.0
project_12,wi,FR,SportEntertainment,2020-08-21,2020-09-15,3143,0,0,FEMALE,45to54,25,0.0
project_6,wi,ES,BrutalWitty,2019-11-30,2020-02-21,27919,4,13,MALE,25to34,83,21.05263157894737
project_2,vc,DK,Core,2020-11-06,2020-10-23,3119,0,0,FEMALE,35to44,-14,0.0
project_2,wi,ES,OffensiveComedy,2020-10-09,2020-10-23,11346,19,12,FEMALE,45to54,14,52.77777777777778
project_4,vc,DE,Broad,2020-10-13,2020-09-25,1282,4,4,MALE,O55,-18,21.05263157894737
project_1,wi,GB,DarkFemaleLedTV,2020-05-10,2020-03-18,2685,7,2,FEMALE,25to34,-53,41.1764705882353
project_3,wi,DE,VisuallyArresting,2020-09-08,2020-09-25,1848,2,9,MALE,O55,17,5.882352941176471
project_1,vc,AT,Feminism,2020-07-07,2020-03-18,17411,1,16,MALE,45to54,-111,5.0
project_1,vc,ES,BestOfMystery,2020-08-18,2020-03-18,9569,7,3,FEMALE,45to54,-153,36.8421052631579
project_10,wi,DE,Book,2020-10-23,2021-02-19,901,2,7,FEMALE,25to34,119,14.285714285714286
project_5,wi,FR,BarreDancePoleFitnessEnthusiasts,2020-04-10,2020-04-15,5589,7,27,MALE,35to44,5,15.909090909090908
project_4,vc,DE,Interest,2020-10-13,2020-09-25,1738,6,3,FEMALE,25to34,-18,46.15384615384615
project_1,vc,AT,DarkFemaleLedTV,2020-07-07,2020-03-18,28101,3,6,MALE,35to44,-111,11.538461538461538
project_1,vc,DE,Motherhood,2020-07-07,2020-03-18,2976,10,16,FEMALE,45to54,-111,17.857142857142858
project_1,vc,ES,PopularDrama,2020-08-18,2020-03-18,13829,26,3,FEMALE,35to44,-153,46.42857142857143
project_1,vc,DE,PrimeVideoFans,2020-07-07,2020-03-18,19396,0,11,MALE,25to34,-111,0.0
project_1,vc,AT,Cast,2020-07-07,2020-03-18,6697,0,10,MALE,45to54,-111,0.0
project_1,wi,GB,PopularDramaThrillerTV,2020-05-10,2020-03-18,3125,3,33,MALE,18to24,-53,5.882352941176471
project_10,wi,DE,YoungAdultsDrama,2020-10-23,2021-02-19,754,9,24,FEMALE,O55,119,25.714285714285715
project_1,vc,AT,BestOfMystery,2020-07-07,2020-03-18,25131,3,15,MALE,45to54,-111,9.375
project_2,vc,ES,USCulture,2020-11-10,2020-10-23,2983,0,0,MALE,45to54,-18,0.0
project_5,vc,FR,FrenchInfluencers,2020-04-29,2020-04-15,16412,13,164,MALE,18to24,-14,6.074766355140187
project_6,vc,DE,Drama,2020-03-09,2020-02-21,1890,3,4,FEMALE,35to44,-17,20.0
project_5,wi,FR,Singles,2020-04-10,2020-04-15,7234,9,109,MALE,25to34,5,6.7164179104477615
project_3,wi,FR,PrimeVideoFans,2020-09-08,2020-09-25,2438,0,0,FEMALE,25to34,17,0.0
project_2,vc,FI,Broad,2020-11-06,2020-10-23,2193,1,11,FEMALE,O55,-14,8.333333333333334
project_7,wi,FR,GuestStars,2020-05-15,2020-06-05,11798,0,2,FEMALE,45to54,21,0.0
project_5,wi,FR,FrenchComedy,2020-04-10,2020-04-15,12502,19,78,MALE,35to44,5,18.095238095238095
project_6,wi,ES,Control,2019-11-30,2020-02-21,4614,6,13,FEMALE,45to54,83,25.0
project_7,vc,FR,NatooFans,2020-07-12,2020-06-05,47591,54,38,FEMALE,18to24,-37,39.130434782608695
project_7,vc,FR,LudovikFans,2020-07-12,2020-06-05,90241,24,95,MALE,25to34,-37,17.02127659574468
project_4,vc,DE,SophisticatedCrimeTV,2020-10-13,2020-09-25,2921,3,12,FEMALE,45to54,-18,13.636363636363637
project_2,vc,FI,Mixed_Segment_A,2020-11-06,2020-10-23,3823,2,2,MALE,25to34,-14,40.0
project_5,wi,FR,Teens,2020-04-10,2020-04-15,7145,9,77,MALE,45to54,5,7.6923076923076925
project_1,vc,AT,Motherhood,2020-07-07,2020-03-18,21457,2,18,MALE,18to24,-111,6.25
project_1,vc,DE,FemaleLedDramaMovies,2020-07-07,2020-03-18,18537,6,15,MALE,25to34,-111,16.216216216216218
project_11,wi,FR,FrenchComedy,2020-08-21,2020-09-18,29558,0,0,MALE,18to24,28,0.0
project_11,wi,FR,FrenchCinema,2020-08-21,2020-09-18,3487,0,0,MALE,25to34,28,0.0
project_7,vc,FR,NormanThavaudFans,2020-07-12,2020-06-05,95893,15,52,MALE,35to44,-37,16.853932584269664
project_7,wi,FR,FrenchComedy,2020-05-15,2020-06-05,12793,3,2,FEMALE,45to54,21,42.857142857142854
project_8,vc,GB,Control,2020-11-06,2020-10-30,1541,0,0,MALE,25to34,-7,0.0
project_4,wi,DE,Crime,2020-07-15,2020-09-25,6826,21,21,FEMALE,45to54,72,26.923076923076923
project_10,wi,DE,YoungAdultsDrama,2020-10-23,2021-02-19,1553,10,7,FEMALE,18to24,119,35.714285714285715
project_11,wi,FR,HumoristCelebrities,2020-08-21,2020-09-18,5963,0,0,FEMALE,25to34,28,0.0
project_5,wi,FR,EmpowermentFeminismBodyPositivity,2020-04-10,2020-04-15,5013,19,5,FEMALE,35to44,5,57.57575757575758
project_2,wi,ES,Control,2020-10-09,2020-10-23,1793,5,9,FEMALE,18to24,14,33.333333333333336
project_3,wi,GB,Dystopian,2020-08-14,2020-09-25,7207,21,9,FEMALE,35to44,42,25.609756097560975
project_14,wi,DE,StandUp,2020-09-14,2020-12-04,2471,3,12,FEMALE,35to44,81,8.571428571428571
project_1,vc,ES,Feminism,2020-08-18,2020-03-18,6702,6,11,MALE,18to24,-153,27.272727272727273
project_2,vc,DK,Broad,2020-11-06,2020-10-23,3284,0,0,MALE,18to24,-14,0.0
project_6,vc,DE,PRIMEOriginalSeries,2020-03-09,2020-02-21,1631,2,14,FEMALE,18to24,-17,8.0
project_12,wi,FR,RealityTVfans,2020-08-21,2020-09-15,3860,0,0,MALE,O55,25,0.0
project_1,vc,ES,DarkFemaleLedTV,2020-08-18,2020-03-18,10924,25,9,MALE,45to54,-153,43.85964912280702
project_10,wi,DE,BiographiesTrueStories,2020-10-23,2021-02-19,3167,6,17,MALE,O55,119,25.0
project_2,vc,IE,Demo,2020-11-06,2020-10-23,4440,0,0,MALE,O55,-14,0.0
project_6,wi,FR,BrutalWitty,2019-11-29,2020-02-21,12954,9,46,MALE,18to24,84,9.473684210526315
project_5,vc,FR,ViewedPrimeVideoCampaigns,2020-04-29,2020-04-15,12197,30,63,FEMALE,45to54,-14,26.08695652173913
project_11,wi,FR,Rural,2020-08-21,2020-09-18,5507,0,0,FEMALE,45to54,28,0.0
project_2,vc,PT,Mixed_Segment_D,2020-11-07,2020-10-23,8479,7,1,MALE,35to44,-15,87.5
project_14,wi,AT,GermanyComedy,2020-09-14,2020-12-04,11558,1,2,MALE,35to44,81,20.0
project_1,vc,ES,WomensFavouriteTV,2020-08-18,2020-03-18,14261,19,9,FEMALE,25to34,-153,35.18518518518518
project_3,wi,DE,ComicBookTV,2020-09-08,2020-09-25,1617,0,2,FEMALE,25to34,17,0.0
project_8,vc,GB,FlockAudiences,2020-11-06,2020-10-30,2879,0,0,FEMALE,45to54,-7,0.0
project_6,vc,FR,SpiesSecretOperations,2020-03-09,2020-02-21,3446,27,17,MALE,35to44,-17,46.55172413793103
project_6,wi,GB,BrutalWitty,2019-11-29,2020-02-21,22471,30,57,MALE,18to24,84,13.574660633484163
project_10,wi,DE,Music,2020-10-23,2021-02-19,730,5,6,FEMALE,45to54,119,45.45454545454545
project_6,wi,ES,Control,2019-11-30,2020-02-21,4410,3,6,MALE,25to34,83,23.076923076923077
project_2,vc,ES,Control,2020-11-10,2020-10-23,7421,0,0,FEMALE,O55,-18,0.0
project_2,vc,SE,Demo,2020-11-06,2020-10-23,1511,4,4,MALE,O55,-14,44.44444444444444
project_4,vc,DE,Broad,2020-10-13,2020-09-25,2217,10,22,MALE,25to34,-18,17.24137931034483
project_1,vc,DE,FemaleLedDramaMovies,2020-07-07,2020-03-18,5586,2,7,MALE,18to24,-111,6.896551724137931
project_7,vc,FR,LudovikFans,2020-07-12,2020-06-05,70081,23,127,MALE,18to24,-37,12.92134831460674
project_14,wi,AT,StandUp,2020-09-14,2020-12-04,17758,0,0,FEMALE,35to44,81,0.0
project_2,vc,SE,Demo,2020-11-06,2020-10-23,2369,6,5,MALE,25to34,-14,50.0
project_5,vc,FR,FemaleLedComedy,2020-04-29,2020-04-15,27642,140,129,FEMALE,18to24,-14,32.634032634032636
project_6,vc,DE,Action,2020-03-09,2020-02-21,1269,2,8,FEMALE,45to54,-17,13.333333333333334
project_3,wi,FR,VisuallyArresting,2020-09-08,2020-09-25,2762,0,0,FEMALE,45to54,17,0.0
project_13,wi,FR,MusicalsOnScreen,2020-09-21,2020-09-25,2068,0,0,FEMALE,18to24,4,0.0
project_12,wi,FR,FrenchCinema,2020-08-21,2020-09-15,3499,0,0,FEMALE,O55,25,0.0
project_11,wi,FR,FamilyEntertainment,2020-08-21,2020-09-18,13561,0,0,FEMALE,25to34,28,0.0
project_9,vc,DE,FootballEntertainment,2020-06-23,2020-06-05,9762,60,138,MALE,35to44,-18,22.988505747126435
project_10,wi,DE,Control,2020-10-23,2021-02-19,493,1,18,FEMALE,45to54,119,5.0
project_6,vc,GB,BrutalWitty,2020-03-09,2020-02-21,3766,25,44,MALE,25to34,-17,29.069767441860463
project_4,vc,DE,Interest,2020-10-13,2020-09-25,1545,0,6,MALE,18to24,-18,0.0
project_5,wi,FR,ComedyDramedy,2020-04-10,2020-04-15,13064,16,90,MALE,35to44,5,14.285714285714286
project_6,vc,DE,CastCrew,2020-03-09,2020-02-21,1442,2,9,FEMALE,18to24,-17,14.285714285714286
project_7,wi,FR,NormanThavaudFans,2020-05-15,2020-06-05,771,3,1,FEMALE,45to54,21,30.0
project_6,vc,ES,Drama,2020-03-09,2020-02-21,3078,8,2,FEMALE,45to54,-17,53.333333333333336
project_6,vc,GB,Drama,2020-03-09,2020-02-21,2575,3,7,FEMALE,25to34,-17,13.636363636363637
project_10,wi,DE,DrugsonScreen,2020-10-23,2021-02-19,1632,4,13,MALE,35to44,119,16.666666666666668
project_12,wi,FR,Football,2020-08-21,2020-09-15,2271,0,0,MALE,O55,25,0.0
project_13,wi,FR,FrenchArtists,2020-09-21,2020-09-25,2007,0,0,FEMALE,45to54,4,0.0
project_6,vc,ES,Drama,2020-03-09,2020-02-21,3518,9,4,MALE,35to44,-17,36.0
project_3,wi,FR,ComicBookTV,2020-09-08,2020-09-25,3310,0,0,MALE,O55,17,0.0
project_2,vc,SE,Mixed_Segment_B,2020-11-06,2020-10-23,5222,12,2,MALE,35to44,-14,85.71428571428571
project_1,wi,NL,DarkFemaleLedTV,2020-05-10,2020-03-18,4564,3,1,FEMALE,35to44,-53,25.0
project_1,vc,DE,Cast,2020-07-07,2020-03-18,5143,1,11,MALE,35to44,-111,3.225806451612903
project_6,wi,ES,TarantinoStyle,2019-11-30,2020-02-21,5273,7,2,MALE,35to44,83,63.63636363636363
project_11,wi,FR,French,2020-08-21,2020-09-18,5997,0,0,FEMALE,35to44,28,0.0
project_1,vc,GB,DarkFemaleLedTV,2020-06-24,2020-03-18,5165,37,12,FEMALE,25to34,-98,29.6
project_3,wi,FR,SciFi,2020-09-08,2020-09-25,2749,0,0,FEMALE,45to54,17,0.0
project_3,wi,DE,Dystopian,2020-09-08,2020-09-25,2349,2,10,MALE,25to34,17,5.2631578947368425
project_13,wi,FR,FrenchArtists,2020-09-21,2020-09-25,2726,0,0,MALE,25to34,4,0.0
project_7,wi,FR,PrimeVideoFans,2020-05-15,2020-06-05,20126,2,1,FEMALE,45to54,21,50.0
project_6,wi,GB,Action,2019-11-29,2020-02-21,2227,0,18,FEMALE,25to34,84,0.0
project_3,wi,FR,SciFi,2020-09-08,2020-09-25,3960,0,0,FEMALE,18to24,17,0.0
project_4,vc,DE,Spies,2020-10-13,2020-09-25,3063,5,16,MALE,O55,-18,15.625
project_1,vc,GB,PopularDramaThrillerTV,2020-06-24,2020-03-18,7188,13,55,MALE,18to24,-98,12.62135922330097
project_2,wi,AT,SBC,2020-10-10,2020-10-23,1853,20,3,MALE,25to34,13,83.33333333333333
project_4,vc,DE,PrimeVideoFans,2020-10-13,2020-09-25,1357,7,31,FEMALE,O55,-18,9.722222222222221
project_8,vc,GB,TheCornettoTrilogy,2020-11-06,2020-10-30,1120,0,0,FEMALE,25to34,-7,0.0
project_10,wi,DE,Berlin,2020-10-23,2021-02-19,1171,2,2,MALE,35to44,119,28.571428571428573
project_14,wi,AT,GermanComedy,2020-09-14,2020-12-04,1747,1,1,FEMALE,18to24,81,25.0
project_6,wi,DE,Control,2019-11-29,2020-02-21,1910,2,20,FEMALE,35to44,84,3.8461538461538463
project_3,wi,FR,VisuallyArresting,2020-09-08,2020-09-25,1809,0,0,FEMALE,O55,17,0.0
project_6,vc,FR,SpiesSecretOperations,2020-03-09,2020-02-21,2452,14,6,FEMALE,25to34,-17,42.42424242424242
project_2,vc,DK,Demo,2020-11-06,2020-10-23,1465,0,0,MALE,O55,-14,0.0
project_5,vc,FR,EmpowermentFeminismBodyPositivity,2020-04-29,2020-04-15,10790,9,67,MALE,35to44,-14,9.375
project_1,vc,AT,BestOfMystery,2020-07-07,2020-03-18,34806,2,2,MALE,25to34,-111,10.0
project_6,vc,ES,SpiesSecretOperations,2020-03-09,2020-02-21,4298,18,10,FEMALE,25to34,-17,50.0
project_6,wi,ES,VengeanceSelfJustice,2019-11-30,2020-02-21,6058,18,25,MALE,25to34,83,34.61538461538461
project_1,vc,DE,DarkFemaleLedTV,2020-07-07,2020-03-18,5929,7,10,FEMALE,18to24,-111,13.20754716981132
project_3,wi,IT,ComicBookTV,2020-09-08,2020-09-25,2064,0,0,FEMALE,35to44,17,0.0
project_4,wi,DE,Crime,2020-07-15,2020-09-25,8055,24,27,FEMALE,35to44,72,25.53191489361702
project_7,wi,FR,NatooFans,2020-05-15,2020-06-05,39822,14,34,MALE,25to34,21,24.56140350877193
project_5,vc,FR,FemaleLedComedy,2020-04-29,2020-04-15,27193,95,326,MALE,25to34,-14,18.664047151277014
project_5,wi,FR,FemaleCenteredInterests,2020-04-10,2020-04-15,7547,4,41,MALE,45to54,5,6.666666666666667
project_1,vc,AT,FemaleLedDramaMovies,2020-07-07,2020-03-18,22964,6,6,FEMALE,18to24,-111,18.75
project_6,wi,FR,Action,2019-11-29,2020-02-21,1826,2,8,FEMALE,35to44,84,8.0
project_7,vc,FR,Gamers,2020-07-12,2020-06-05,49781,11,17,FEMALE,35to44,-37,17.46031746031746
project_2,vc,ES,Comedy,2020-11-10,2020-10-23,7680,0,0,FEMALE,45to54,-18,0.0
project_3,wi,GB,VisuallyArresting,2020-08-14,2020-09-25,7581,7,28,FEMALE,18to24,42,5.691056910569106
project_14,wi,AT,Comedy,2020-09-14,2020-12-04,12414,1,1,MALE,45to54,81,33.333333333333336
project_14,wi,DE,Mixed_Segment_C,2020-09-14,2020-12-04,7647,0,0,FEMALE,35to44,81,0.0
project_5,vc,FR,InARelationship,2020-04-29,2020-04-15,14942,45,23,FEMALE,35to44,-14,45.91836734693877
project_1,vc,AT,BestOfMystery,2020-07-07,2020-03-18,30910,1,5,MALE,18to24,-111,4.545454545454546
project_5,wi,FR,FrenchInfluencers,2020-04-10,2020-04-15,6674,28,34,FEMALE,25to34,5,36.36363636363637
project_7,wi,FR,LudovikFans,2020-05-15,2020-06-05,28595,6,36,MALE,35to44,21,13.636363636363637
project_14,wi,AT,GermanComedy,2020-09-14,2020-12-04,1940,0,4,MALE,18to24,81,0.0
project_2,vc,IE,Broad,2020-11-06,2020-10-23,3384,0,0,MALE,O55,-14,0.0
project_14,wi,DE,StandUp,2020-09-14,2020-12-04,3258,4,1,MALE,18to24,81,25.0
project_2,vc,FI,Broad,2020-11-06,2020-10-23,2595,0,0,FEMALE,35to44,-14,0.0
project_8,vc,GB,BestOfComedy,2020-11-06,2020-10-30,2631,0,0,FEMALE,25to34,-7,0.0
project_13,wi,FR,MusicNostalgia,2020-09-21,2020-09-25,4979,0,0,MALE,25to34,4,0.0
project_2,wi,AT,Comedy,2020-10-10,2020-10-23,3384,1,6,FEMALE,O55,13,12.5
project_11,wi,FR,French,2020-08-21,2020-09-18,7425,0,0,MALE,45to54,28,0.0
project_1,vc,DE,Feminism,2020-07-07,2020-03-18,3474,1,2,MALE,18to24,-111,7.6923076923076925
project_6,wi,ES,TarantinoStyle,2019-11-30,2020-02-21,5176,5,5,MALE,45to54,83,45.45454545454545
project_7,vc,FR,NatooFans,2020-07-12,2020-06-05,56619,12,27,FEMALE,45to54,-37,21.818181818181817
project_2,vc,ES,USDocumentary,2020-11-10,2020-10-23,8780,0,0,FEMALE,45to54,-18,0.0
project_1,vc,AT,PrimeVideoFans,2020-07-07,2020-03-18,17889,8,1,FEMALE,45to54,-111,26.666666666666668
project_5,wi,FR,FrenchInfluencers,2020-04-10,2020-04-15,6259,3,11,FEMALE,35to44,5,11.538461538461538
project_4,wi,DE,GermanCrimeDrama,2020-07-15,2020-09-25,3652,12,17,FEMALE,18to24,72,18.75
project_8,vc,GB,FlockAudiences,2020-11-06,2020-10-30,3089,0,0,MALE,O55,-7,0.0
project_6,vc,ES,CastCrew,2020-03-09,2020-02-21,4548,64,6,FEMALE,35to44,-17,56.14035087719298
project_8,vc,GB,Mixed_Segment_D,2020-11-06,2020-10-30,3201,0,0,FEMALE,25to34,-7,0.0
project_10,wi,DE,YoungAdultsDrama,2020-10-23,2021-02-19,1115,5,21,FEMALE,45to54,119,14.705882352941176
project_6,vc,GB,PRIMEOriginalSeries,2020-03-09,2020-02-21,2795,14,10,FEMALE,45to54,-17,43.75
