PROJECT_ID,TYPE,CAMPAIGN_COUNTRY,CLUSTER,DEMOGRAPHY,SURVEY_DATE,RELEASE_DATE,IMPRESSIONS,YES_ANSWERS,NO_ANSWERS,NA_ANSWERS
project_6,wi,DE,Moviegoer,MALE_O25,2019-11-29,2020-02-21,26,0,0,0
project_2,vc,NO,Mixed_Segment_E,MALE_45to54,2020-11-06,2020-10-23,4292,5,2,2
project_6,wi,DE,BrutalWitty,FEMALE_O25,2019-11-29,2020-02-21,4083,3,7,8
project_7,vc,FR,Comedy,MALE_25to34,2020-07-12,2020-06-05,101805,50,293,60
project_4,vc,DE,Extended,FEMALE_O55,2020-10-13,2020-09-25,1472,7,11,16
project_7,wi,FR,Comedy,MALE_18to24,2020-05-15,2020-06-05,14879,47,66,16
project_1,vc,DE,DarkFemaleLedTV,MALE_U25,2020-07-07,2020-03-18,13819,0,5,6
project_12,wi,FR,RealityTVfans,FEMALE_35to44,2020-08-21,2020-09-15,3988,0,0,0
project_6,wi,ES,TarantinoStyle,FEMALE_O45,2019-11-30,2020-02-21,4755,1,2,2
project_6,vc,ES,Control,MALE_35to44,2020-03-09,2020-02-21,6629,44,35,48
project_2,vc,IE,Demo,FEMALE_U25,2020-11-06,2020-10-23,4706,0,0,0
project_2,wi,AT,USDocumentary,FEMALE_25to34,2020-10-10,2020-10-23,2000,10,1,5
project_2,wi,ES,USDocumentary,FEMALE_O55,2020-10-09,2020-10-23,8364,11,14,9
project_1,wi,GB,PopularDramaThrillerTV,FEMALE_45to54,2020-05-10,2020-03-18,1458,4,0,5
project_12,wi,FR,Football,MALE_35to44,2020-08-21,2020-09-15,2511,0,0,0
project_3,wi,DE,SciFi,FEMALE_45to54,2020-09-08,2020-09-25,1590,2,6,26
project_2,vc,PT,Mixed_Segment_F,MALE_O55,2020-11-07,2020-10-23,7192,2,3,1
project_6,wi,DE,VengeanceSelfJustice,MALE_35to44,2019-11-29,2020-02-21,2398,10,10,8
project_6,vc,ES,Action,MALE_35to44,2020-03-09,2020-02-21,4372,17,4,13
project_2,wi,AT,USCulture,FEMALE_25to34,2020-10-10,2020-10-23,1391,6,2,1
project_6,wi,DE,BrutalWitty,FEMALE_O45,2019-11-29,2020-02-21,1557,6,7,10
project_9,wi,DE,SportEntertainment,MALE_25to34,2020-06-02,2020-06-05,3092,29,53,6
project_5,wi,FR,FrenchCinemaTVSeries,MALE_25to34,2020-04-10,2020-04-15,13938,8,96,21
project_1,wi,NL,WomensFavouriteTV,FEMALE_U25,2020-05-10,2020-03-18,6558,0,14,33
project_7,vc,FR,GuestStars,MALE_45to54,2020-07-12,2020-06-05,63075,12,14,12
project_1,wi,GB,DarkFemaleLedTV,MALE_U25,2020-05-10,2020-03-18,2170,1,4,3
project_8,wi,GB,TheCornettoTrilogy,MALE_O55,2020-07-30,2020-10-30,122,1,0,0
project_6,vc,ES,CastCrew,FEMALE_O45,2020-03-09,2020-02-21,5137,63,10,49
project_2,vc,IE,Mixed_Segment_C,FEMALE_35to44,2020-11-06,2020-10-23,6601,0,0,0
project_6,vc,DE,SpiesSecretOperations,FEMALE_U25,2020-03-09,2020-02-21,1493,2,2,3
project_4,vc,DE,Core,FEMALE_O55,2020-10-13,2020-09-25,1448,4,5,9
project_7,wi,FR,GuestStars,FEMALE_25to34,2020-05-15,2020-06-05,10732,3,8,7
project_6,wi,FR,VengeanceSelfJustice,MALE_O45,2019-11-29,2020-02-21,3442,11,8,12
project_2,vc,IE,Mixed_Segment_B,MALE_35to44,2020-11-06,2020-10-23,7540,0,0,0
project_1,vc,DE,FemaleLedDramaMovies,MALE_45to54,2020-07-07,2020-03-18,7351,3,2,0
project_14,wi,AT,Mixed_Segment_C,FEMALE_25to34,2020-09-14,2020-12-04,12080,0,0,0
project_2,vc,DK,Mixed_Segment_C,FEMALE_35to44,2020-11-06,2020-10-23,3733,0,0,0
project_12,wi,FR,SportEntertainment,FEMALE_45to54,2020-08-21,2020-09-15,3143,0,0,0
project_6,wi,ES,BrutalWitty,MALE_O25,2019-11-30,2020-02-21,27919,4,13,2
project_2,vc,DK,Core,FEMALE_35to44,2020-11-06,2020-10-23,3119,0,0,0
project_2,wi,ES,OffensiveComedy,FEMALE_45to54,2020-10-09,2020-10-23,11346,19,12,5
project_4,vc,DE,Broad,MALE_O55,2020-10-13,2020-09-25,1282,4,4,11
project_1,wi,GB,DarkFemaleLedTV,FEMALE_25to34,2020-05-10,2020-03-18,2685,7,2,8
project_3,wi,DE,VisuallyArresting,MALE_O55,2020-09-08,2020-09-25,1848,2,9,23
project_1,vc,AT,Feminism,MALE_O45,2020-07-07,2020-03-18,17411,1,16,3
project_1,vc,ES,BestOfMystery,FEMALE_45to54,2020-08-18,2020-03-18,9569,7,3,9
project_10,wi,DE,Book,FEMALE_25to34,2020-10-23,2021-02-19,901,2,7,5
project_5,wi,FR,BarreDancePoleFitnessEnthusiasts,MALE_35to44,2020-04-10,2020-04-15,5589,7,27,10
project_4,vc,DE,Interest,FEMALE_25to34,2020-10-13,2020-09-25,1738,6,3,4
project_1,vc,AT,DarkFemaleLedTV,MALE_35to44,2020-07-07,2020-03-18,28101,3,6,17
project_1,vc,DE,Motherhood,FEMALE_O45,2020-07-07,2020-03-18,2976,10,16,30
project_1,vc,ES,PopularDrama,FEMALE_35to44,2020-08-18,2020-03-18,13829,26,3,27
project_1,vc,DE,PrimeVideoFans,MALE_25to34,2020-07-07,2020-03-18,19396,0,11,28
project_1,vc,AT,Cast,MALE_O45,2020-07-07,2020-03-18,6697,0,10,12
project_1,wi,GB,PopularDramaThrillerTV,MALE_U25,2020-05-10,2020-03-18,3125,3,33,15
project_10,wi,DE,YoungAdultsDrama,FEMALE_O55,2020-10-23,2021-02-19,754,9,24,2
project_1,vc,AT,BestOfMystery,MALE_O45,2020-07-07,2020-03-18,25131,3,15,14
project_2,vc,ES,USCulture,MALE_45to54,2020-11-10,2020-10-23,2983,0,0,0
project_5,vc,FR,FrenchInfluencers,MALE_U25,2020-04-29,2020-04-15,16412,13,164,37
project_6,vc,DE,Drama,FEMALE_35to44,2020-03-09,2020-02-21,1890,3,4,8
project_5,wi,FR,Singles,MALE_25to34,2020-04-10,2020-04-15,7234,9,109,16
project_3,wi,FR,PrimeVideoFans,FEMALE_25to34,2020-09-08,2020-09-25,2438,0,0,0
project_2,vc,FI,Broad,FEMALE_O55,2020-11-06,2020-10-23,2193,1,11,0
project_7,wi,FR,GuestStars,FEMALE_45to54,2020-05-15,2020-06-05,11798,0,2,1
project_5,wi,FR,FrenchComedy,MALE_35to44,2020-04-10,2020-04-15,12502,19,78,8
project_6,wi,ES,Control,FEMALE_O45,2019-11-30,2020-02-21,4614,6,13,5
project_7,vc,FR,NatooFans,FEMALE_18to24,2020-07-12,2020-06-05,47591,54,38,46
project_7,vc,FR,LudovikFans,MALE_25to34,2020-07-12,2020-06-05,90241,24,95,22
project_4,vc,DE,SophisticatedCrimeTV,FEMALE_45to54,2020-10-13,2020-09-25,2921,3,12,7
project_2,vc,FI,Mixed_Segment_A,MALE_25to34,2020-11-06,2020-10-23,3823,2,2,1
project_5,wi,FR,Teens,MALE_O45,2020-04-10,2020-04-15,7145,9,77,31
project_1,vc,AT,Motherhood,MALE_18to24,2020-07-07,2020-03-18,21457,2,18,12
project_1,vc,DE,FemaleLedDramaMovies,MALE_25to34,2020-07-07,2020-03-18,18537,6,15,16
project_11,wi,FR,FrenchComedy,MALE_18to24,2020-08-21,2020-09-18,29558,0,0,0
project_11,wi,FR,FrenchCinema,MALE_25to34,2020-08-21,2020-09-18,3487,0,0,0
project_7,vc,FR,NormanThavaudFans,MALE_35to44,2020-07-12,2020-06-05,95893,15,52,22
project_7,wi,FR,FrenchComedy,FEMALE_45to54,2020-05-15,2020-06-05,12793,3,2,2
project_8,vc,GB,Control,MALE_25to34,2020-11-06,2020-10-30,1541,0,0,0
project_4,wi,DE,Crime,FEMALE_45to54,2020-07-15,2020-09-25,6826,21,21,36
project_10,wi,DE,YoungAdultsDrama,FEMALE_18to24,2020-10-23,2021-02-19,1553,10,7,11
project_11,wi,FR,HumoristCelebrities,FEMALE_25to34,2020-08-21,2020-09-18,5963,0,0,0
project_5,wi,FR,EmpowermentFeminismBodyPositivity,FEMALE_35to44,2020-04-10,2020-04-15,5013,19,5,9
project_2,wi,ES,Control,FEMALE_U25,2020-10-09,2020-10-23,1793,5,9,1
project_3,wi,GB,Dystopian,FEMALE_35to44,2020-08-14,2020-09-25,7207,21,9,52
project_14,wi,DE,StandUp,FEMALE_35to44,2020-09-14,2020-12-04,2471,3,12,20
project_1,vc,ES,Feminism,MALE_U25,2020-08-18,2020-03-18,6702,6,11,5
project_2,vc,DK,Broad,MALE_U25,2020-11-06,2020-10-23,3284,0,0,0
project_6,vc,DE,PRIMEOriginalSeries,FEMALE_U25,2020-03-09,2020-02-21,1631,2,14,9
project_12,wi,FR,RealityTVfans,MALE_O55,2020-08-21,2020-09-15,3860,0,0,0
project_1,vc,ES,DarkFemaleLedTV,MALE_45to54,2020-08-18,2020-03-18,10924,25,9,23
project_10,wi,DE,BiographiesTrueStories,MALE_O55,2020-10-23,2021-02-19,3167,6,17,1
project_2,vc,IE,Demo,MALE_O55,2020-11-06,2020-10-23,4440,0,0,0
project_6,wi,FR,BrutalWitty,MALE_U25,2019-11-29,2020-02-21,12954,9,46,40
project_5,vc,FR,ViewedPrimeVideoCampaigns,FEMALE_O45,2020-04-29,2020-04-15,12197,30,63,22
project_11,wi,FR,Rural,FEMALE_45to54,2020-08-21,2020-09-18,5507,0,0,0
project_2,vc,PT,Mixed_Segment_D,MALE_35to44,2020-11-07,2020-10-23,8479,7,1,0
project_14,wi,AT,GermanyComedy,MALE_35to44,2020-09-14,2020-12-04,11558,1,2,2
project_1,vc,ES,WomensFavouriteTV,FEMALE_25to34,2020-08-18,2020-03-18,14261,19,9,26
project_3,wi,DE,ComicBookTV,FEMALE_25to34,2020-09-08,2020-09-25,1617,0,2,16
project_8,vc,GB,FlockAudiences,FEMALE_45to54,2020-11-06,2020-10-30,2879,0,0,0
project_6,vc,FR,SpiesSecretOperations,MALE_35to44,2020-03-09,2020-02-21,3446,27,17,14
project_6,wi,GB,BrutalWitty,MALE_U25,2019-11-29,2020-02-21,22471,30,57,134
project_10,wi,DE,Music,FEMALE_45to54,2020-10-23,2021-02-19,730,5,6,0
project_6,wi,ES,Control,MALE_O25,2019-11-30,2020-02-21,4410,3,6,4
project_2,vc,ES,Control,FEMALE_O55,2020-11-10,2020-10-23,7421,0,0,0
project_2,vc,SE,Demo,MALE_O55,2020-11-06,2020-10-23,1511,4,4,1
project_4,vc,DE,Broad,MALE_25to34,2020-10-13,2020-09-25,2217,10,22,26
project_1,vc,DE,FemaleLedDramaMovies,MALE_18to24,2020-07-07,2020-03-18,5586,2,7,20
project_7,vc,FR,LudovikFans,MALE_18to24,2020-07-12,2020-06-05,70081,23,127,28
project_14,wi,AT,StandUp,FEMALE_35to44,2020-09-14,2020-12-04,17758,0,0,9
project_2,vc,SE,Demo,MALE_25to34,2020-11-06,2020-10-23,2369,6,5,1
project_5,vc,FR,FemaleLedComedy,FEMALE_U25,2020-04-29,2020-04-15,27642,140,129,160
project_6,vc,DE,Action,FEMALE_O45,2020-03-09,2020-02-21,1269,2,8,5
project_3,wi,FR,VisuallyArresting,FEMALE_45to54,2020-09-08,2020-09-25,2762,0,0,0
project_13,wi,FR,MusicalsOnScreen,FEMALE_18to24,2020-09-21,2020-09-25,2068,0,0,0
project_12,wi,FR,FrenchCinema,FEMALE_O55,2020-08-21,2020-09-15,3499,0,0,0
project_11,wi,FR,FamilyEntertainment,FEMALE_25to34,2020-08-21,2020-09-18,13561,0,0,0
project_9,vc,DE,FootballEntertainment,MALE_35to44,2020-06-23,2020-06-05,9762,60,138,63
project_10,wi,DE,Control,FEMALE_45to54,2020-10-23,2021-02-19,493,1,18,1
project_6,vc,GB,BrutalWitty,MALE_25to34,2020-03-09,2020-02-21,3766,25,44,17
project_4,vc,DE,Interest,MALE_U25,2020-10-13,2020-09-25,1545,0,6,2
project_5,wi,FR,ComedyDramedy,MALE_35to44,2020-04-10,2020-04-15,13064,16,90,6
project_6,vc,DE,CastCrew,FEMALE_U25,2020-03-09,2020-02-21,1442,2,9,3
project_7,wi,FR,NormanThavaudFans,FEMALE_O45,2020-05-15,2020-06-05,771,3,1,6
project_6,vc,ES,Drama,FEMALE_O45,2020-03-09,2020-02-21,3078,8,2,5
project_6,vc,GB,Drama,FEMALE_25to34,2020-03-09,2020-02-21,2575,3,7,12
project_10,wi,DE,DrugsonScreen,MALE_35to44,2020-10-23,2021-02-19,1632,4,13,7
project_12,wi,FR,Football,MALE_O55,2020-08-21,2020-09-15,2271,0,0,0
project_13,wi,FR,FrenchArtists,FEMALE_45to54,2020-09-21,2020-09-25,2007,0,0,0
project_6,vc,ES,Drama,MALE_35to44,2020-03-09,2020-02-21,3518,9,4,12
project_3,wi,FR,ComicBookTV,MALE_O55,2020-09-08,2020-09-25,3310,0,0,0
project_2,vc,SE,Mixed_Segment_B,MALE_35to44,2020-11-06,2020-10-23,5222,12,2,0
project_1,wi,NL,DarkFemaleLedTV,FEMALE_35to44,2020-05-10,2020-03-18,4564,3,1,8
project_1,vc,DE,Cast,MALE_35to44,2020-07-07,2020-03-18,5143,1,11,19
project_6,wi,ES,TarantinoStyle,MALE_35to44,2019-11-30,2020-02-21,5273,7,2,2
project_11,wi,FR,French,FEMALE_35to44,2020-08-21,2020-09-18,5997,0,0,0
project_1,vc,GB,DarkFemaleLedTV,FEMALE_25to34,2020-06-24,2020-03-18,5165,37,12,76
project_3,wi,FR,SciFi,FEMALE_45to54,2020-09-08,2020-09-25,2749,0,0,0
project_3,wi,DE,Dystopian,MALE_25to34,2020-09-08,2020-09-25,2349,2,10,26
project_13,wi,FR,FrenchArtists,MALE_25to34,2020-09-21,2020-09-25,2726,0,0,0
project_7,wi,FR,PrimeVideoFans,FEMALE_45to54,2020-05-15,2020-06-05,20126,2,1,1
project_6,wi,GB,Action,FEMALE_25to34,2019-11-29,2020-02-21,2227,0,18,15
project_3,wi,FR,SciFi,FEMALE_U25,2020-09-08,2020-09-25,3960,0,0,0
project_4,vc,DE,Spies,MALE_O55,2020-10-13,2020-09-25,3063,5,16,11
project_1,vc,GB,PopularDramaThrillerTV,MALE_U25,2020-06-24,2020-03-18,7188,13,55,35
project_2,wi,AT,SBC,MALE_25to34,2020-10-10,2020-10-23,1853,20,3,1
project_4,vc,DE,PrimeVideoFans,FEMALE_O55,2020-10-13,2020-09-25,1357,7,31,34
project_8,vc,GB,TheCornettoTrilogy,FEMALE_25to34,2020-11-06,2020-10-30,1120,0,0,0
project_10,wi,DE,Berlin,MALE_35to44,2020-10-23,2021-02-19,1171,2,2,3
project_14,wi,AT,GermanComedy,FEMALE_18to24,2020-09-14,2020-12-04,1747,1,1,2
project_6,wi,DE,Control,FEMALE_35to44,2019-11-29,2020-02-21,1910,2,20,30
project_3,wi,FR,VisuallyArresting,FEMALE_O55,2020-09-08,2020-09-25,1809,0,0,0
project_6,vc,FR,SpiesSecretOperations,FEMALE_25to34,2020-03-09,2020-02-21,2452,14,6,13
project_2,vc,DK,Demo,MALE_O55,2020-11-06,2020-10-23,1465,0,0,0
project_5,vc,FR,EmpowermentFeminismBodyPositivity,MALE_35to44,2020-04-29,2020-04-15,10790,9,67,20
project_1,vc,AT,BestOfMystery,MALE_25to34,2020-07-07,2020-03-18,34806,2,2,16
project_6,vc,ES,SpiesSecretOperations,FEMALE_25to34,2020-03-09,2020-02-21,4298,18,10,8
project_6,wi,ES,VengeanceSelfJustice,MALE_25to34,2019-11-30,2020-02-21,6058,18,25,9
project_1,vc,DE,DarkFemaleLedTV,FEMALE_18to24,2020-07-07,2020-03-18,5929,7,10,36
project_3,wi,IT,ComicBookTV,FEMALE_35to44,2020-09-08,2020-09-25,2064,0,0,0
project_4,wi,DE,Crime,FEMALE_35to44,2020-07-15,2020-09-25,8055,24,27,43
project_7,wi,FR,NatooFans,MALE_25to34,2020-05-15,2020-06-05,39822,14,34,9
project_5,vc,FR,FemaleLedComedy,MALE_25to34,2020-04-29,2020-04-15,27193,95,326,88
project_5,wi,FR,FemaleCenteredInterests,MALE_O45,2020-04-10,2020-04-15,7547,4,41,15
project_1,vc,AT,FemaleLedDramaMovies,FEMALE_18to24,2020-07-07,2020-03-18,22964,6,6,20
project_6,wi,FR,Action,FEMALE_35to44,2019-11-29,2020-02-21,1826,2,8,15
project_7,vc,FR,Gamers,FEMALE_35to44,2020-07-12,2020-06-05,49781,11,17,35
project_2,vc,ES,Comedy,FEMALE_45to54,2020-11-10,2020-10-23,7680,0,0,0
project_3,wi,GB,VisuallyArresting,FEMALE_U25,2020-08-14,2020-09-25,7581,7,28,88
project_14,wi,AT,Comedy,MALE_45to54,2020-09-14,2020-12-04,12414,1,1,1
project_14,wi,DE,Mixed_Segment_C,FEMALE_35to44,2020-09-14,2020-12-04,7647,0,0,0
project_5,vc,FR,InARelationship,FEMALE_35to44,2020-04-29,2020-04-15,14942,45,23,30
project_1,vc,AT,BestOfMystery,MALE_18to24,2020-07-07,2020-03-18,30910,1,5,16
project_5,wi,FR,FrenchInfluencers,FEMALE_25to34,2020-04-10,2020-04-15,6674,28,34,15
project_7,wi,FR,LudovikFans,MALE_35to44,2020-05-15,2020-06-05,28595,6,36,2
project_14,wi,AT,GermanComedy,MALE_18to24,2020-09-14,2020-12-04,1940,0,4,6
project_2,vc,IE,Broad,MALE_O55,2020-11-06,2020-10-23,3384,0,0,0
project_14,wi,DE,StandUp,MALE_18to24,2020-09-14,2020-12-04,3258,4,1,11
project_2,vc,FI,Broad,FEMALE_35to44,2020-11-06,2020-10-23,2595,0,0,0
project_8,vc,GB,BestOfComedy,FEMALE_25to34,2020-11-06,2020-10-30,2631,0,0,0
project_13,wi,FR,MusicNostalgia,MALE_25to34,2020-09-21,2020-09-25,4979,0,0,0
project_2,wi,AT,Comedy,FEMALE_O55,2020-10-10,2020-10-23,3384,1,6,1
project_11,wi,FR,French,MALE_45to54,2020-08-21,2020-09-18,7425,0,0,0
project_1,vc,DE,Feminism,MALE_18to24,2020-07-07,2020-03-18,3474,1,2,10
project_6,wi,ES,TarantinoStyle,MALE_O45,2019-11-30,2020-02-21,5176,5,5,1
project_7,vc,FR,NatooFans,FEMALE_45to54,2020-07-12,2020-06-05,56619,12,27,16
project_2,vc,ES,USDocumentary,FEMALE_45to54,2020-11-10,2020-10-23,8780,0,0,0
project_1,vc,AT,PrimeVideoFans,FEMALE_O45,2020-07-07,2020-03-18,17889,8,1,21
project_5,wi,FR,FrenchInfluencers,FEMALE_35to44,2020-04-10,2020-04-15,6259,3,11,12
project_4,wi,DE,GermanCrimeDrama,FEMALE_U25,2020-07-15,2020-09-25,3652,12,17,35
project_8,vc,GB,FlockAudiences,MALE_O55,2020-11-06,2020-10-30,3089,0,0,0
project_6,vc,ES,CastCrew,FEMALE_35to44,2020-03-09,2020-02-21,4548,64,6,44
project_8,vc,GB,Mixed_Segment_D,FEMALE_25to34,2020-11-06,2020-10-30,3201,0,0,0
project_10,wi,DE,YoungAdultsDrama,FEMALE_45to54,2020-10-23,2021-02-19,1115,5,21,8
project_6,vc,GB,PRIMEOriginalSeries,FEMALE_O45,2020-03-09,2020-02-21,2795,14,10,8
project_6,wi,ES,PRIMEOriginalSeries,MALE_O45,2019-11-30,2020-02-21,5702,16,2,3
project_2,vc,NO,Demo,FEMALE_45to54,2020-11-06,2020-10-23,1664,6,7,1
project_5,vc,FR,FrenchComedy,MALE_U25,2020-04-29,2020-04-15,30435,32,322,97
project_2,wi,ES,USCulture,MALE_45to54,2020-10-09,2020-10-23,3769,15,10,1
project_1,wi,GB,PopularDramaThrillerTV,FEMALE_U25,2020-05-10,2020-03-18,2381,1,16,9
project_6,vc,DE,CastCrew,FEMALE_25to34,2020-03-09,2020-02-21,1678,11,5,14
project_10,wi,DE,BiographiesTrueStories,FEMALE_25to34,2020-10-23,2021-02-19,4160,8,9,7
project_5,vc,FR,PrimeVideoFans,MALE_O45,2020-04-29,2020-04-15,3465,10,19,18
project_10,wi,DE,DrugsonScreen,FEMALE_18to24,2020-10-23,2021-02-19,1919,8,12,6
project_6,vc,DE,CastCrew,MALE_O45,2020-03-09,2020-02-21,2575,42,52,51
project_1,wi,GB,WomensFavouriteTV,MALE_25to34,2020-05-10,2020-03-18,4094,1,3,4
project_1,vc,DE,Feminism,FEMALE_U25,2020-07-07,2020-03-18,10892,4,0,0
project_2,wi,AT,OffensiveComedy,FEMALE_O55,2020-10-10,2020-10-23,6189,1,5,3
project_14,wi,AT,GermanComedy,MALE_25to34,2020-09-14,2020-12-04,7986,1,5,8
project_1,wi,NL,WomensFavouriteTV,MALE_35to44,2020-05-10,2020-03-18,4366,0,5,7
project_6,vc,ES,PRIMEOriginalSeries,FEMALE_O45,2020-03-09,2020-02-21,4269,24,5,13
project_14,wi,AT,Mixed_Segment_D,MALE_25to34,2020-09-14,2020-12-04,13081,0,0,0
project_6,wi,ES,Control,MALE_25to34,2019-11-30,2020-02-21,7006,10,38,13
project_14,wi,AT,Control,MALE_35to44,2020-09-14,2020-12-04,12096,0,0,0
project_8,vc,GB,IrreverentBritishTVComedy,FEMALE_U25,2020-11-06,2020-10-30,3348,0,0,0
project_4,vc,DE,Crime,FEMALE_O55,2020-10-13,2020-09-25,2657,3,28,11
project_1,wi,GB,PopularDramaThrillerTV,MALE_O55,2020-05-10,2020-03-18,2895,1,3,8
project_4,vc,DE,Thriller,FEMALE_U25,2020-10-13,2020-09-25,3353,7,9,19
project_6,wi,FR,PRIMEOriginalSeries,MALE_35to44,2019-11-29,2020-02-21,4282,15,14,13
project_5,vc,FR,FrenchComedians,MALE_25to34,2020-04-29,2020-04-15,15520,6,106,24
project_6,vc,GB,Control,FEMALE_35to44,2020-03-09,2020-02-21,4015,25,15,29
project_6,wi,DE,VengeanceSelfJustice,MALE_U25,2019-11-29,2020-02-21,2265,3,12,9
project_12,wi,FR,PrimeVideoFans,MALE_18to24,2020-08-21,2020-09-15,4248,0,0,0
project_1,wi,GB,DarkFemaleLedTV,MALE_45to54,2020-05-10,2020-03-18,3530,4,4,3
project_10,wi,DE,Book,FEMALE_45to54,2020-10-23,2021-02-19,787,6,9,3
project_7,vc,FR,GuestStars,MALE_18to24,2020-07-12,2020-06-05,76938,41,125,39
project_1,wi,GB,DarkFemaleLedTV,FEMALE_35to44,2020-05-10,2020-03-18,4204,11,0,13
